wmo_id,Stasiun,Lat,Lon
96001,Stasiun Meteorologi Maimun Saleh,5.87655,95.33785
96009,Stasiun Meteorologi Malikussaleh,5.22869,96.94749
96011,Stasiun Meteorologi Sultan Iskandar Muda,5.52244,95.417
96013,Stasiun Geofisika Aceh Besar,5.496,95.296
96015,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,4.04928,96.24796
96017,Stasiun Klimatologi Aceh,5.404,95.464
96031,Stasiun Klimatologi Sumatera Utara,3.62114,98.71485
96033,Stasiun Meteorologi Maritim Belawan,3.78824,98.71492
96035,Stasiun Meteorologi Kualanamu,3.64573,98.88488
96037,Stasiun Geofisika Deli Serdang,3.501,98.56
96039,Stasiun Geofisika Aceh Selatan,3.17333,97.28637
96041,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I,3.5397,98.64
96043,Stasiun Meteorologi Silangit,2.26136,98.99357
96071,Stasiun Meteorologi Aek Godang,1.55,99.45
96073,Stasiun Meteorologi FL Tobing,1.55,98.88
96075,Stasiun Meteorologi Binaka,1.1649,97.7036
96077,Stasiun Geofisika Gunungsitoli,1.3,97.58
96087,Stasiun Meteorologi Hang Nadim,1.11667,104.11667
96089,Stasiun Meteorologi Raja Haji Abdullah ,1.03,103.38
96091,Stasiun Meteorologi Raja Haji Fisabilillah,0.9227,104.5289
96107,Stasiun Klimatologi Riau,0.407,101.217
96109,Stasiun Meteorologi Sultan Syarif Kasim II,0.45924,101.44743
96145,Stasiun Meteorologi Tarempa,3.2,106.25
96147,Stasiun Meteorologi Ranai,3.91206,108.39
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222
96163,Stasiun Meteorologi Minangkabau,-0.79355,100.28917
96165,Stasiun Geofisika Padang Panjang,-0.4663,100.3797
96167,Stasiun Klimatologi Sumatera Barat,-0.54549,100.29786
96169,Stasiun Pemantau Atmosfer Global Bukit Koto Tabang,-0.2505,100.3823
96171,Stasiun Meteorologi Japura,-0.33,102.32
96179,Stasiun Meteorologi Dabo ,-0.48,104.58
96191,Stasiun Klimatologi Jambi,-1.6019,103.48444
96195,Stasiun Meteorologi Sultan Thaha,-1.63368,103.64
96207,Stasiun Meteorologi Depati Parbo,-2.083,101.45
96221,Stasiun Meteorologi Sultan Mahmud Badaruddin II,-2.89468,104.70129
96223,Stasiun Klimatologi Sumatera Selatan,-2.92732,104.77197
96237,Stasiun Meteorologi Depati Amir,-2.17,106.13
96239,Stasiun Klimatologi Bangka Belitung,-2.518,106.422
96247,Stasiun Geofisika Tanjung Pandan,-2.7575,107.65
96249,Stasiun Meteorologi H. AS. Hanandjoeddin,-2.75,107.75
96253,Stasiun Meteorologi Fatmawati Soekarno,-3.8582,102.3367
96255,Stasiun Klimatologi Bengkulu,-3.8652,102.3119
96257,Stasiun Geofisika Kepahiang,-3.55,102.589
96291,Stasiun Klimatologi Lampung,-5.17236,105.18
96293,Stasiun Meteorologi Maritim Panjang,-5.4721,105.321
96295,Stasiun Meteorologi Radin Inten II,-5.16,105.11
96297,Stasiun Geofisika Lampung Utara,-4.83631,104.87
96503,Stasiun Meteorologi Nunukan,4.13,117.67
96505,Stasiun Meteorologi Yuvai Semaring,3.86,115.68
96509,Stasiun Meteorologi Juwata,3.33,117.57
96525,Stasiun Meteorologi Tanjung Harapan,2.5,117.22
96529,Stasiun Meteorologi Kalimarau ,2.14562,117.43375
96535,Stasiun Meteorologi Paloh,1.74,109.3
96557,Stasiun Meteorologi Nangapinoh,-0.42,111.47
96559,Stasiun Meteorologi Tebelian,0.06,111.47
96565,Stasiun Meteorologi Pangsuma,0.84,112.93
96581,Stasiun Meteorologi Supadio,-0.14206,109.45
96583,Stasiun Klimatologi Kalimantan Barat,0.075,109.19
96585,Stasiun Meteorologi Maritim Pontianak,-0.03,109.34
96595,Stasiun Meteorologi Beringin,-0.56,114.53
96607,Stasiun Meteorologi Aji Pangeran Tumenggung Pranoto,-0.48,117.16
96615,Stasiun Meteorologi Rahadi Oesman,-1.8,109.97
96633,Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan,-1.26,116.9
96645,Stasiun Meteorologi Iskandar,-2.73,111.66
96651,Stasiun Meteorologi H. Asan,-2.55,112.93
96653,Stasiun Meteorologi Sanggu,-1.67,114.9
96655,Stasiun Meteorologi Tjilik Riwut,-2.22,113.95
96685,Stasiun Meteorologi Syamsudin Noor,-3.442,114.754
96687,Stasiun Klimatologi Kalimantan Selatan,-3.46225,114.84
96695,Stasiun Meteorologi Gusti Syamsir Alam,-3.3,116.17
96733,Stasiun Klimatologi Banten,-6.26151,106.75084
96735,Stasiun Geofisika Tangerang,-6.1,106.38
96737,Stasiun Meteorologi Maritim Serang,-6.11185,106.11
96739,Stasiun Meteorologi Budiarto,-6.2867,106.56389
96741,Stasiun Meteorologi Maritim Tanjung Priok,-6.10781,106.88053
96745,Stasiun Meteorologi Kemayoran,-6.15559,106.84
96747,Halim Perdana Kusuma Jakarta,-6.27036,106.88926
96749,Stasiun Meteorologi Soekarno Hatta,-6.12,106.65
96751,Stasiun Meteorologi Citeko,-6.7,106.85
96753,Stasiun Klimatologi Jawa Barat,-6.5,106.75
96783,Stasiun Geofisika Bandung,-6.88356,107.59733
96791,Stasiun Meteorologi Kertajati,-6.7344,108.263
96793,Pos Meteorologi Penggung,-6.7553,108.53904
96797,Stasiun Meteorologi Maritim Tegal,-6.86817,109.12103
96805,Stasiun Meteorologi Tunggul Wulung,-7.7189,109.0149
96807,Stasiun Geofisika Banjarnegara,-7.333,109.7069
96835,Stasiun Klimatologi Jawa Tengah,-6.9847,110.3812
96837,Stasiun Meteorologi Maritim Tanjung Emas,-6.9486,110.4199
96839,Stasiun Meteorologi Ahmad Yani,-6.97683,110.3778
96851,Stasiun Klimatologi DI Yogyakarta,-7.731,110.354
96855,Stasiun Geofisika Sleman,-7.82,110.3
96925,Stasiun Meteorologi Sangkapura,-5.8511,112.6578
96933,Stasiun Meteorologi Perak I,-7.2236,112.7239
96935,Stasiun Meteorologi Juanda,-7.3846,112.7833
96937,Stasiun Meteorologi Maritim Tanjung Perak,-7.2053,112.7353
96939,Stasiun Meteorologi Tuban,-6.8229,111.99177
